csid,diary_type,diary_keeper,age_years_part,age_class_part,sex,age_class_cont,part_educ_stat,part_job,shadow_present,shadow_num,fam_rel,share_hh,same_room,share_bed,ever_met,how_often,difficulties_filling_diary,difficulty_comments,record_all_contacts,record_contacts_comments,behaviour_change,behaviour_change_comments,other_comments,dok_year,day,loc_stat,season
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Older,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Primary,0,Unemployed,1,1,Other relative,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Secondary,0,Unemployed,1,1,Other relative,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
6,Picture,Shadow,3.3,2,Male,Adult,0,Unemployed,1,1,Other relative,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,0
14,Picture,Shadow,6.5,3,Female,Secondary,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Primary,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Pre-School,01-Apr,Pre-School,1,1,Parent,No,Yes,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Primary,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Pre-School,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Adult,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Secondary,01-Apr,Pre-School,1,1,Sibling,Yes,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Primary,01-Apr,Pre-School,1,1,Sibling,Yes,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Pre-School,01-Apr,Pre-School,1,1,Parent,No,Yes,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Pre-School,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Primary,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Adult,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
14,Picture,Shadow,6.5,3,Female,Primary,01-Apr,Pre-School,1,1,Sibling,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Parent,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Older,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Parent,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Primary,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Adult,0,Pre-School,1,1,Sibling,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
15,Picture,Shadow,4.6,2,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
16,Picture,Participant,12.5,3,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Older,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Older,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Adult,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Older,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
16,Picture,Participant,12.5,3,Male,Primary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,None,Yes,None,No,None,999,2011,0,1,1
18,Picture,Participant,16.4,4,Male,Older,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Yes,Rarely,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Missing,Missing,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Older,05-Aug,Student,0,0,Parent,No,No,No,Yes,Rarely,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Pre-School,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Rarely,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Primary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Parent,Yes,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Adult,05-Aug,Student,0,0,Parent,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Sibling,No,No,No,Yes,Daily,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
18,Picture,Participant,16.4,4,Male,Secondary,05-Aug,Student,0,0,Parent,No,No,No,Yes,Missing,No,none,No,He could not figure out quickly what symbols to use to represent the three contacts that's why he forgot.,No,none,no,2011,1,1,1
19,Picture,Shadow,0.8,1,Female,Secondary,0,Pre-School,1,1,Parent,No,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Secondary,0,Pre-School,1,1,Parent,No,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Pre-School,0,Pre-School,1,1,Sibling,No,Yes,No,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Infant,0,Pre-School,1,1,Parent,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Adult,0,Pre-School,1,1,Parent,Yes,Yes,No,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Pre-School,0,Pre-School,1,1,Parent,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Adult,0,Pre-School,1,1,Sibling,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Secondary,0,Pre-School,1,1,Sibling,No,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Adult,0,Pre-School,1,1,Parent,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Pre-School,0,Pre-School,1,1,Sibling,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
19,Picture,Shadow,0.8,1,Female,Pre-School,0,Pre-School,1,1,Parent,Yes,Yes,Yes,Yes,Daily,No,None,Yes,None,No,None,No,2012,0,1,0
20,Picture,Participant,54.9,5,Female,Adult,>12,Other,0,0,Offspring,Yes,No,No,Yes,Daily,No,None,Yes,None,No,,999,2011,1,1,0
20,Picture,Participant,54.9,5,Female,Secondary,>12,Other,0,0,Offspring,Yes,No,No,Yes,Daily,No,None,Yes,None,No,,999,2011,1,1,0
20,Picture,Participant,54.9,5,Female,Adult,>12,Other,0,0,Offspring,No,No,No,Yes,Daily,No,None,Yes,None,No,,999,2011,1,1,0
20,Picture,Participant,54.9,5,Female,Secondary,>12,Other,0,0,Offspring,Yes,No,No,Yes,Daily,No,None,Yes,None,No,,999,2011,1,1,0
20,Picture,Participant,54.9,5,Female,Adult,>12,Other,0,0,Offspring,No,No,No,Yes,Daily,No,None,Yes,None,No,,999,2011,1,1,0
22,Picture,Shadow,2.3,2,Male,Adult,0,Unemployed,1,1,Sibling,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,999,2011,1,1,0
22,Picture,Shadow,2.3,2,Male,Older,0,Unemployed,1,1,Parent,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,999,2011,1,1,0
22,Picture,Shadow,2.3,2,Male,Primary,0,Unemployed,1,1,Sibling,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,999,2011,1,1,0
22,Picture,Shadow,2.3,2,Male,Pre-School,0,Unemployed,1,1,Other relative,Yes,Yes,No,Yes,Daily,No,none,Yes,none,No,none,999,2011,1,1,0
23,Picture,Participant,44.9,5,Male,Primary,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Offspring,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Offspring,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Primary,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Infant,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Primary,DNK,Business Person,0,0,Spouse,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Offspring,Yes,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Secondary,DNK,Business Person,0,0,Spouse,Yes,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Older,DNK,Business Person,0,0,Spouse,No,Yes,Yes,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
23,Picture,Participant,44.9,5,Male,Adult,DNK,Business Person,0,0,Offspring,No,No,No,Yes,Daily,No,none,Yes,none,No,none,no,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Secondary,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Often,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Secondary,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Pre-School,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Secondary,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Secondary,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Adult,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Older,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
26,Picture,Participant,54.9,5,Female,Secondary,05-Aug,Other,0,0,Missing,No,Missing,Missing,Yes,Regularly,No,none,Yes,none,Yes,some of the students were afraid to greet the participants after they knew he was keeping the diary,999,2011,1,1,1
